"manufacturer","model","category","modes_json","weight_kg","dimensions_length_mm","dimensions_width_mm","dimensions_height_mm","brightness_value","brightness_unit","power_voltage_range","power_avg_w","power_max_w","power_avg_a","power_max_a","connectivity_data_in","connectivity_data_out","connectivity_power_in","connectivity_power_out","sources_json","notes"
"Ayrton","Diablo-S","Wash","[{""name"":""Standard"",""channels"":36},{""name"":""Basic"",""channels"":34},{""name"":""Extended"",""channels"":56}]",21.8,364.9,591.6,210.6,17500,"lm","","",550,"","","DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.ayrton.eu/produit/diablo/""},{""type"":""manual"",""ref"":""https://www.ayrton.eu/wp-content/uploads/2018/12/Diablo-V1.pdf""}]",""
"Ayrton","Diablo-TC","Wash","[{""name"":""Standard"",""channels"":36},{""name"":""Basic"",""channels"":34},{""name"":""Extended"",""channels"":56}]",21.8,364.9,591.6,210.6,14000,"lm","","",550,"","","DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.ayrton.eu/produit/diablo/""},{""type"":""manual"",""ref"":""https://www.ayrton.eu/wp-content/uploads/2018/12/Diablo-V1.pdf""}]",""
"Ayrton","MagicBlade FX","Pixel Bar","[{""name"":""Standard"",""channels"":22},{""name"":""Basic"",""channels"":19},{""name"":""Extended"",""channels"":19}]",13,612,312,191,3800,"lm","","",400,"","","DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""""},{""type"":""manual"",""ref"":""https://www.ayrton.eu/wp-content/uploads/2015/10/MAGICBLADE-FX-Preliminary-Manual.pdf""}]",""
"Martin","Atomic 3000","Strobe","[{""name"":""1-channel"",""channels"":1},{""name"":""3-channel"",""channels"":3},{""name"":""4-channel"",""channels"":4}]",7.5,450,239,234,"","","","",3000,"","","DMX 3-pin; DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""""},{""type"":""manual"",""ref"":""https://www.martin.com/files/files/productdocuments/11_MANUALS/999/35000094G%20UM_Atomic3000DMX_EN_G.pdf""}]",""
"Martin","MAC 250 Beam","Beam","[{""name"":""16-Bit"",""channels"":13},{""name"":""16-Bit Extendend"",""channels"":19}]",22.9,393,538,315,7700,"lm","","",326,"","","DMX 3-pin; DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.martin.com/en/products/mac-250-beam""},{""type"":""manual"",""ref"":""https://adn.harmanpro.com/site_elements/executables/5846_1526694942/UM_MAC250Wash_EN_G_original.pdf""}]",""
"Martin","Mac 250 Krypton","Wash","[{""name"":""16-Bit"",""channels"":14},{""name"":""16-Bit Extended"",""channels"":17}]",22.4,393,538,315,5000,"lm","","",326,"","","DMX 3-pin; DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.martin.com/en/products/mac-250-krypton""},{""type"":""manual"",""ref"":""https://adn.harmanpro.com/site_elements/executables/5646_1526694591/UM_MAC250KryptonEntour_EN_K_original.pdf""}]",""
"Martin","MAC 250 Wash","Wash","[{""name"":""16-Bit"",""channels"":13},{""name"":""16-Bit Extendend"",""channels"":19}]",22.9,393,538,315,7700,"lm","","",326,"","","DMX 3-pin; DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.martin.com/en/products/mac-250-wash""},{""type"":""manual"",""ref"":""https://adn.harmanpro.com/site_elements/executables/5846_1526694942/UM_MAC250Wash_EN_G_original.pdf""}]",""
"Martin","MAC 600","Wash","[{""name"":""DMX1 (10-channel)"",""channels"":10},{""name"":""DMX2 (12-channel)"",""channels"":12},{""name"":""DMX3 (12-channel)"",""channels"":12},{""name"":""DMX4 (14-channel)"",""channels"":14}]",31.5,481,610,456,21500,"lm","","",750,"","","DMX 3-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.martin.com/en-US/products/mac-600""},{""type"":""manual"",""ref"":""https://adn.harmanpro.com/site_elements/executables/3027_1526061584/UM_MAC600_EN_H_original.PDF""}]",""
"Martin","MAC 700 Wash","Wash","[{""name"":""Basic 16-channel"",""channels"":16},{""name"":""Extended 23-channel"",""channels"":23}]",32,365,656,450,18700,"lm","","",950,"","","DMX 3-pin; DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""""},{""type"":""manual"",""ref"":""https://adn.harmanpro.com/site_elements/executables/5949_1526695117/UM_MAC700Wash_EN_D_original.pdf""}]",""
"Martin","MAC Aura","Wash","[{""name"":""Standard"",""channels"":14},{""name"":""Extended"",""channels"":25}]",5.6,302,360,302,3850,"lm","","",260,"","","DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.martin.com/en/products/mac-aura""},{""type"":""manual"",""ref"":""https://www.martin.com/files/files/productdocuments/11_MANUALS/999/UM_MACAura_EN_B.pdf""}]",""
